Rank,playerId,abbrevName,playerFullName,player,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,BB,1B,2B,3B,HR,ROE,K,HBP,FO,GO,LO,Popup#
1,1086813952,T. Lott,Travis Lott,Lott,C,The Citadel,CIT,730366720,The Citadel,BBC,L,R,1,2,2,1,0,0,1,2,2,4,0,0
1,1130692352,T. Williams,Tyler Williams,Williams,CF,Little Rock,UALR,730217472,Little Rock,BBC,R,R,0,2,1,0,1,0,2,0,1,5,0,0
1,1174036224,S. Hojnar,Sam Hojnar,Hojnar,2B,University of Maryland-College Park,MD,730172928,Maryland,BBC,S,R,3,0,1,1,1,0,11,0,0,6,1,0
1,1142882304,G. Smith,Grant Smith,Smith,SS,University of Kentucky,UK,5362,Kentucky,BBC,R,R,1,3,1,0,0,0,3,0,0,2,0,0
1,1318719488,R. Vogel,Ryan Vogel,Vogel,CF,Bradley University,BRAD,730253312,Bradley,BBC,R,R,5,1,1,0,0,0,4,0,5,2,0,0
1,1319593216,C. Husmann,Carson Husmann,Husmann,RF,Valparaiso University,VALP,730369536,Valparaiso,BBC,R,R,1,1,1,0,1,0,3,1,1,1,0,0
1,1088061440,R. Hamchuk,Robert Hamchuk,Hamchuk,LF,San Jose State University,SJSU,730206720,San Jose State,BBC,R,R,1,1,0,1,0,0,3,0,4,3,2,0
1,1311363072,P. Leeper,Peyton Leeper,Leeper,3B,Southeast Missouri State University,SEMO,730168576,Southeast Missouri State,BBC,S,R,0,2,0,0,0,0,6,1,1,1,1,0
1,1285053440,C. Dicochea,Christian Dicochea,Dicochea,2B,Loyola Marymount University,LMU,730149120,Loyola Marymount,BBC,R,R,1,3,0,0,0,1,0,1,2,7,0,0
1,1225351680,D. Thomas,Dale Thomas,Thomas,3B,University of Florida,FLA,730168320,Florida,BBC,R,R,2,1,0,0,1,0,3,1,7,2,1,0
1,1225356800,Z. Beach,Zack Beach,Beach,1B,Coastal Carolina University,CCAR,4104,Coastal Carolina,BBC,L,R,3,2,2,0,1,0,7,3,3,6,0,0
1,1118454528,C. Chadwick,Clayton Chadwick,Chadwick,LF,University of Georgia,UGA,226,Georgia,BBC,L,R,3,1,1,0,0,0,2,0,2,2,0,0
1,1231395840,B. Paulsen,Brett Paulsen,Paulsen,2B,Stony Brook University,STON,730249984,Stony Brook,BBC,R,R,3,2,1,0,0,2,1,0,1,8,0,0
1,1318766080,E. Schwartz,Ellis Schwartz,Schwartz,CF,George Washington University,GW,730249216,George Washington,BBC,L,L,2,2,0,0,0,0,11,1,0,1,0,0
1,1122169344,J. Delossantos,Joe Delossantos,Delossantos,CF,College of William & Mary,WM,730232064,William & Mary,BBC,R,R,3,2,0,0,0,0,2,0,2,1,3,0
1,1193113088,A. Cecere,Adam Cecere,Cecere,RF,Penn State University,PSU,5326,Penn State,BBC,L,R,2,1,0,0,0,0,4,3,1,3,0,0
1,1319598849,J. Sweeney,Jordan Sweeney,Sweeney,3B,Rutgers University,RUTG,730229248,Rutgers,BBC,R,R,0,2,0,0,0,1,8,0,2,5,0,0
1,1136379136,B. Eidson,Brayden Eidson,Eidson,P,Kennesaw State University,KENN,730197504,Kennesaw State,BBC,L,L,1,5,1,0,0,0,5,0,0,2,0,0
1,1116320512,L. Lesch,Luke Lesch,Lesch,1B,Rider University,RID,730174976,Rider,BBC,L,R,1,3,3,0,0,0,3,0,0,3,0,0
1,1332656128,L. Harrill,Lawson Harrill,Harrill,LF,Campbell University,CAMP,730187776,Campbell,BBC,R,R,3,3,0,0,0,0,7,1,2,2,0,0
1,1237817856,B. Zmarzlak,Bobby Zmarzlak,Zmarzlak,DH,Georgia Tech,GT,100,Georgia Tech,BBC,R,R,1,1,1,0,0,0,1,2,2,2,0,0
1,1136947968,D. Stahl,Drew Stahl,Stahl,2B,Oral Roberts University,ORU,730180096,Oral Roberts,BBC,R,R,2,4,1,0,1,0,4,0,2,6,0,0
1,1089582848,M. Campagna,Mike Campagna,Campagna,C,University of San Francisco,SF,730365696,San Francisco,BBC,R,R,0,1,2,0,1,0,3,0,1,3,0,0
1,1253563392,J. Corona,Jorge Corona,Corona,C,Louisiana Tech University,LT,3374,Louisiana Tech,BBC,R,R,0,2,1,0,1,0,3,0,1,2,2,0
1,1082968320,M. Greer,Mason Greer,Greer,2B,Baylor University,BAY,3033,Baylor,BBC,S,R,0,2,2,0,0,0,3,1,1,5,0,0
1,1201654784,H. Padden,Harry Padden,Padden,LF,Monmouth University,MONM,4164,Monmouth,BBC,R,R,1,1,1,0,1,0,0,1,4,4,0,0
1,1212843264,A. King,Ashton King,King,SS,East Tennessee State University,ETSU,4844,East Tennessee State,BBC,R,R,1,2,0,0,0,1,2,0,2,2,1,0
1,1139938560,A. Kryszczuk,Austin Kryszczuk,Kryszczuk,LF,UNLV,UNLV,730161664,UNLV,BBC,R,L,2,2,0,0,0,0,0,1,2,5,1,0
1,1276584192,J. David,Jeffrey David,David,1B,Sam Houston State University,SHSU,5363,Sam Houston State,BBC,R,R,2,2,2,0,1,0,2,0,2,3,1,0
1,1272023040,J. Stallcup,John Stallcup,Stallcup,C,Southern Illinois Univ.-Edwardsville,SIUE,730298112,SIU Edwardsville,BBC,R,R,2,1,1,0,0,0,0,0,2,6,0,0
1,1216974336,C. Goodman,Connor Goodman,Goodman,2B,University of Maine,ME,730275840,Maine,BBC,R,R,2,0,0,0,0,0,4,0,0,4,0,0
1,1273343744,S. Baumgardt,Simon Baumgardt,Baumgardt,3B,University of Notre Dame,ND,225,Notre Dame,BBC,R,R,2,4,0,0,0,1,6,0,2,2,0,0
1,1324514048,K. Pettis,Kendall Pettis,Pettis,LF,University of Oklahoma,OKLA,730294528,Oklahoma,BBC,R,R,1,4,0,1,1,0,2,0,3,2,0,0
1,1231534080,P. Landwehr,Parker Landwehr,Landwehr,C,Boston College,BC,227,Boston College,BBC,R,R,2,2,1,0,0,0,3,0,2,2,0,0
